Participant,Condition,Segment_ID,ROI,abs_power,relative_power
VJJ,Binaural,1,Frontal,2.868463518720423e-12,1.8770113675338664
VJJ,Binaural,1,Auditory,1.6750597898822131e-12,1.0960942143375563
VJJ,Binaural,1,Occipital_Visual,5.269921503777398e-13,0.3448432411304948
VJJ,Binaural,1,Gonzalez,1.947507053572268e-12,1.2743731457802163
VJJ,Binaural,1,CPP,3.470931205657841e-13,0.22712428749500102
VJJ,Binaural,2,Frontal,2.6475687152741637e-12,1.338153975878877
VJJ,Binaural,2,Auditory,2.5336201280804383e-12,1.28056122894869
VJJ,Binaural,2,Occipital_Visual,9.980425420459963e-13,0.504438123939991
VJJ,Binaural,2,Gonzalez,2.9948258122137976e-12,1.5136672542467278
VJJ,Binaural,2,CPP,5.018688436334343e-13,0.25365830340999124
VJJ,Binaural,3,Frontal,1.781142709627858e-12,1.4459859197074938
VJJ,Binaural,3,Auditory,1.4899904396028977e-12,1.2096196360451763
VJJ,Binaural,3,Occipital_Visual,6.216126123257253e-13,0.5046440580403526
VJJ,Binaural,3,Gonzalez,1.5504651542492718e-12,1.2587148519446683
VJJ,Binaural,3,CPP,4.913585152630502e-13,0.3988998134502078
VJJ,Binaural,4,Frontal,2.708166340901026e-12,1.908522338199865
VJJ,Binaural,4,Auditory,1.5496407220959103e-12,1.0920761733270141
VJJ,Binaural,4,Occipital_Visual,5.038101324309067e-13,0.35504942123898825
VJJ,Binaural,4,Gonzalez,1.65533492449339e-12,1.1665619031166747
VJJ,Binaural,4,CPP,3.477368031326246e-13,0.24506007868483348
VJJ,Binaural,5,Frontal,2.4889326055908656e-12,1.8264982697040968
VJJ,Binaural,5,Auditory,1.2643852578595843e-12,0.9278666206277829
VJJ,Binaural,5,Occipital_Visual,8.952602580271483e-13,0.6569849696003479
VJJ,Binaural,5,Gonzalez,1.7945483378753196e-12,1.3169257482773455
VJJ,Binaural,5,CPP,2.2584410212735931e-13,0.16573524764467049
VJJ,Binaural,6,Frontal,1.7963962975139791e-12,1.3462617454524708
VJJ,Binaural,6,Auditory,1.0224701180470425e-12,0.7662632169193132
VJJ,Binaural,6,Occipital_Visual,1.6083321802570994e-12,1.2053220613161786
VJJ,Binaural,6,Gonzalez,1.9349841393049245e-12,1.4501227420745244
VJJ,Binaural,6,CPP,2.8352441836702564e-13,0.2124798847990379
VJJ,Binaural,7,Frontal,1.833842677071897e-12,1.4525711271725081
VJJ,Binaural,7,Auditory,1.4257286982258948e-12,1.1293075290029293
VJJ,Binaural,7,Occipital_Visual,7.098141130099887e-13,0.562237698527206
VJJ,Binaural,7,Gonzalez,1.3596189045316458e-12,1.0769425258626777
VJJ,Binaural,7,CPP,4.931408124953713e-13,0.39061262714472433
VJJ,Binaural,8,Frontal,1.992878881793928e-12,1.6881506076021011
VJJ,Binaural,8,Auditory,1.2571662566687178e-12,1.0649347531555649
VJJ,Binaural,8,Occipital_Visual,4.331994532421912e-13,0.3669595412368483
VJJ,Binaural,8,Gonzalez,1.0960158133897883e-12,0.9284255948610151
VJJ,Binaural,8,CPP,3.873673669743078e-13,0.3281355740667251
VJJ,Binaural,9,Frontal,3.2740081608939467e-12,2.1592191942797014
VJJ,Binaural,9,Auditory,1.4117487373223696e-12,0.9310529544600405
VJJ,Binaural,9,Occipital_Visual,3.096429727276382e-13,0.2042105630869256
VJJ,Binaural,9,Gonzalez,1.438043131114947e-12,0.9483941940015388
VJJ,Binaural,9,CPP,3.720040285287707e-13,0.24533788533055348
VJJ,Binaural,10,Frontal,1.7460257134985117e-12,1.5852262162961728
VJJ,Binaural,10,Auditory,1.0908529907683577e-12,0.9903913474597071
VJJ,Binaural,10,Occipital_Visual,5.939264062398881e-13,0.5392290058750294
VJJ,Binaural,10,Gonzalez,1.1689630379751727e-12,1.0613078830130538
VJJ,Binaural,10,CPP,3.569921583630774e-13,0.3241151170193163
VJJ,Binaural,11,Frontal,2.1050331192661926e-12,1.8644908875681856
VJJ,Binaural,11,Auditory,1.02326728273308e-12,0.9063384831054648
VJJ,Binaural,11,Occipital_Visual,5.57319961466207e-13,0.49363498374592235
VJJ,Binaural,11,Gonzalez,1.3467114978785066e-12,1.1928227128574014
VJJ,Binaural,11,CPP,3.1132275470611717e-13,0.27574788915650256
VJJ,Binaural,12,Frontal,2.2543624239680553e-12,1.9345767044016375
VJJ,Binaural,12,Auditory,1.2624244509442848e-12,1.0833470731671708
VJJ,Binaural,12,Occipital_Visual,5.145960728839815e-13,0.44159961335126685
VJJ,Binaural,12,Gonzalez,1.8090519496274169e-12,1.5524343919117585
VJJ,Binaural,12,CPP,1.6103860639309176e-13,0.13819496507088452
VJJ,Binaural,13,Frontal,1.0356559013991194e-12,2.137014035866232
VJJ,Binaural,13,Auditory,4.565305052887198e-13,0.9420234039946029
VJJ,Binaural,13,Occipital_Visual,2.965864334678243e-13,0.6119883740458604
VJJ,Binaural,13,Gonzalez,5.082335940135685e-13,1.0487096365100281
VJJ,Binaural,13,CPP,1.697534728601689e-13,0.35027614253840517
VJJ,Binaural,14,Frontal,1.9825592218128953e-12,1.9293125417383965
VJJ,Binaural,14,Auditory,1.1027435685998775e-12,1.0731265799342091
VJJ,Binaural,14,Occipital_Visual,4.14378598525744e-13,0.40324940529778924
VJJ,Binaural,14,Gonzalez,1.4267072935173213e-12,1.3883894334594489
VJJ,Binaural,14,CPP,2.6072199161119767e-13,0.2537196381263857
VJJ,Binaural,15,Frontal,2.757270806666024e-12,2.0891417122619953
VJJ,Binaural,15,Auditory,1.2895541267311118e-12,0.9770753419868476
VJJ,Binaural,15,Occipital_Visual,4.078760690924174e-13,0.30904142868895834
VJJ,Binaural,15,Gonzalez,1.5596696500917342e-12,1.1817377224892893
VJJ,Binaural,15,CPP,2.9727539860133557e-13,0.22524100053788673
VJJ,Binaural,16,Frontal,1.7501683456785549e-12,1.9172229841908737
VJJ,Binaural,16,Auditory,1.0321689438127557e-12,1.1306901004877896
VJJ,Binaural,16,Occipital_Visual,2.3826895707916037e-13,0.2610118746915424
VJJ,Binaural,16,Gonzalez,1.0252169877805405e-12,1.1230745760024123
VJJ,Binaural,16,CPP,1.5967000865947486e-13,0.17491060859589172
VJJ,Binaural,17,Frontal,1.7392545671432613e-12,1.6280093325925553
VJJ,Binaural,17,Auditory,1.2223048028234959e-12,1.1441244219572866
VJJ,Binaural,17,Occipital_Visual,4.733555423060741e-13,0.44307903803550724
VJJ,Binaural,17,Gonzalez,1.197245398434046e-12,1.1206678532720915
VJJ,Binaural,17,CPP,3.363675982717485e-13,0.31485304078723964
VJJ,Binaural,18,Frontal,1.8930167286139687e-12,1.6274084662561612
VJJ,Binaural,18,Auditory,1.1132433009137913e-12,0.9570446713572115
VJJ,Binaural,18,Occipital_Visual,5.444207247271484e-13,0.46803331594168485
VJJ,Binaural,18,Gonzalez,9.931946088535794e-13,0.8538399532643014
VJJ,Binaural,18,CPP,6.481717894400341e-13,0.5572271189042537
VJJ,Binaural,19,Frontal,1.90442262764234e-12,1.9996070964933836
VJJ,Binaural,19,Auditory,1.0325585371048782e-12,1.084166585909472
VJJ,Binaural,19,Occipital_Visual,3.7283032677788117e-13,0.39146466566401755
VJJ,Binaural,19,Gonzalez,1.2230884744479419e-12,1.2842193521787355
VJJ,Binaural,19,CPP,2.5252196101590893e-13,0.26514319770131833
VJJ,Binaural,20,Frontal,1.3256852435978637e-12,2.119100990449254
VJJ,Binaural,20,Auditory,5.560144801534998e-13,0.8887862645281296
VJJ,Binaural,20,Occipital_Visual,2.830377695190241e-13,0.45243440750273006
VJJ,Binaural,20,Gonzalez,7.551682978786269e-13,1.2071326098851167
VJJ,Binaural,20,CPP,1.6384067494446088e-13,0.2618984696611742
VJJ,Binaural,21,Frontal,1.7224352141520606e-12,1.4063050957431904
VJJ,Binaural,21,Auditory,1.4218123014133246e-12,1.1608575278996767
VJJ,Binaural,21,Occipital_Visual,6.001341265152506e-13,0.4899874743116333
VJJ,Binaural,21,Gonzalez,1.3189849643359584e-12,1.076902783520631
VJJ,Binaural,21,CPP,3.1375151079056444e-13,0.25616658600370584
VJJ,Binaural,22,Frontal,2.9097795839378637e-12,2.478241068936207
VJJ,Binaural,22,Auditory,1.0201333136609887e-12,0.8688411615986615
VJJ,Binaural,22,Occipital_Visual,2.3033991771182417e-13,0.1961790669780914
VJJ,Binaural,22,Gonzalez,1.4455805474516103e-12,1.2311919091485273
VJJ,Binaural,22,CPP,2.6375340674804715e-13,0.2246371265655305
VJJ,Binaural,23,Frontal,7.840322843810388e-13,1.5675375990199854
VJJ,Binaural,23,Auditory,5.637744067102258e-13,1.1271698850783147
VJJ,Binaural,23,Occipital_Visual,1.724916446242274e-13,0.3448673528523503
VJJ,Binaural,23,Gonzalez,3.826190400661482e-13,0.7649809113130016
VJJ,Binaural,23,CPP,2.177120183204131e-13,0.4352777063832205
VJJ,Binaural,24,Frontal,1.9280246515122024e-12,2.094241279101734
VJJ,Binaural,24,Auditory,8.426998342888385e-13,0.915349696112901
VJJ,Binaural,24,Occipital_Visual,2.744258718953154e-13,0.2980843572336536
VJJ,Binaural,24,Gonzalez,8.633165729639987e-13,0.9377438211776968
VJJ,Binaural,24,CPP,3.0115026575472593e-13,0.3271126835755672
VJJ,Binaural,25,Frontal,1.1941191965940815e-12,2.0820153238526817
VJJ,Binaural,25,Auditory,5.841724663306163e-13,1.018538208029999
VJJ,Binaural,25,Occipital_Visual,1.6661431974933066e-13,0.2905016248635997
VJJ,Binaural,25,Gonzalez,6.418387921486453e-13,1.1190827553129374
VJJ,Binaural,25,CPP,1.7532502168722993e-13,0.305689233410508
VJJ,Binaural,26,Frontal,2.4989459511551727e-12,1.7392093735357674
VJJ,Binaural,26,Auditory,1.4883580071928932e-12,1.0358632190865489
VJJ,Binaural,26,Occipital_Visual,3.838765112539253e-13,0.26716929445569193
VJJ,Binaural,26,Gonzalez,1.1746943454733268e-12,0.817560466140634
VJJ,Binaural,26,CPP,5.609833007893965e-13,0.3904315796341803
VJJ,Binaural,27,Frontal,1.4609579184687415e-12,2.079995362955784
VJJ,Binaural,27,Auditory,6.051019983188947e-13,0.8614959641943367
VJJ,Binaural,27,Occipital_Visual,3.4324713255214953e-13,0.48868789102744853
VJJ,Binaural,27,Gonzalez,6.936592503242661e-13,0.9875767165546384
VJJ,Binaural,27,CPP,2.2647453019275093e-13,0.3224363731997463
VJJ,Binaural,28,Frontal,3.2426323760343955e-12,2.0689709534115344
