Participant,Condition,Segment_ID,ROI,abs_power,relative_power
V01,Binaural,1,Frontal,5.025950581693954e-13,0.6796773640645891
V01,Binaural,1,Auditory,5.367492688681835e-13,0.725865330941961
V01,Binaural,1,Occipital_Visual,1.6935743471978224e-12,2.29028146902881
V01,Binaural,1,Gonzalez,9.31443198874506e-13,1.259624120644534
V01,Binaural,2,Frontal,1.5732631433354727e-13,0.39582923554495847
V01,Binaural,2,Auditory,2.5619286798089357e-13,0.6445751145606278
V01,Binaural,2,Occipital_Visual,9.068170782577884e-13,2.281530031301026
V01,Binaural,2,Gonzalez,5.302456142696902e-13,1.3340852548192152
V01,Binaural,3,Frontal,1.4619658954602574e-13,0.3041904154277053
V01,Binaural,3,Auditory,3.9483532213806023e-13,0.8215316173904098
V01,Binaural,3,Occipital_Visual,1.1118399328847547e-12,2.313399047977447
V01,Binaural,3,Gonzalez,6.242899652112242e-13,1.298956593000171
V01,Binaural,4,Frontal,1.7257590778051518e-13,0.64169529601174
V01,Binaural,4,Auditory,2.1919475597522919e-13,0.8150398605965016
V01,Binaural,4,Occipital_Visual,4.706039186195468e-13,1.7498637251668023
V01,Binaural,4,Gonzalez,2.902608545956898e-13,1.0792875286351618
V01,Binaural,5,Frontal,2.6569786484012985e-13,0.2777034781743529
V01,Binaural,5,Auditory,5.528866707499803e-13,0.5778689700645199
V01,Binaural,5,Occipital_Visual,2.7256584259954156e-12,2.8488178693855897
V01,Binaural,5,Gonzalez,1.6854063673424958e-12,1.7615618049088706
V01,Binaural,6,Frontal,3.5344456588395773e-13,0.5796271319391515
V01,Binaural,6,Auditory,3.1415210233953534e-13,0.5151899325890428
V01,Binaural,6,Occipital_Visual,1.392131564848571e-12,2.2830092866106355
V01,Binaural,6,Gonzalez,6.99138502669528e-13,1.1465437136289678
V01,Binaural,7,Frontal,2.908726260521404e-13,0.8772051813661341
V01,Binaural,7,Auditory,3.4455561904844377e-13,1.0391007857987007
V01,Binaural,7,Occipital_Visual,4.920959707871197e-13,1.4840486750598532
V01,Binaural,7,Gonzalez,3.9207411750130066e-13,1.1824056873954316
V01,Binaural,8,Frontal,7.710034353543176e-13,0.6970704858527608
V01,Binaural,8,Auditory,6.908079874965517e-13,0.6245651282395321
V01,Binaural,8,Occipital_Visual,2.315248157497452e-12,2.0932347172678782
V01,Binaural,8,Gonzalez,1.2996807262107482e-12,1.1750519306789518
V01,Binaural,9,Frontal,6.682271370629467e-13,0.5960143447399975
V01,Binaural,9,Auditory,9.647948217945608e-13,0.8605330756961762
V01,Binaural,9,Occipital_Visual,1.6739671225430146e-12,1.4930677943490798
V01,Binaural,9,Gonzalez,1.2552899904718582e-12,1.1196355245585976
V01,Binaural,10,Frontal,6.639144202531671e-13,1.1467670992102124
V01,Binaural,10,Auditory,5.596856280199959e-13,0.9667346340653231
V01,Binaural,10,Occipital_Visual,6.439065942791088e-13,1.1122079514438115
V01,Binaural,10,Gonzalez,8.463555034256517e-13,1.461894207982303
V01,Binaural,11,Frontal,1.818828761011276e-13,0.6367187454751575
V01,Binaural,11,Auditory,3.4757032620077836e-13,1.2167420419495933
V01,Binaural,11,Occipital_Visual,4.0444338680013096e-13,1.4158379907953675
V01,Binaural,11,Gonzalez,2.980855502365786e-13,1.0435103164158164
V01,Binaural,12,Frontal,9.741268570255388e-13,1.5347032835401464
V01,Binaural,12,Auditory,3.0093984923972104e-13,0.4741203586014753
V01,Binaural,12,Occipital_Visual,3.820662939329919e-13,0.6019322756580201
V01,Binaural,12,Gonzalez,5.788880242330226e-13,0.9120181269873311
V01,Binaural,13,Frontal,1.2782731415942092e-12,1.0081506557479503
V01,Binaural,13,Auditory,1.310641324970349e-12,1.0336788501801106
V01,Binaural,13,Occipital_Visual,1.2517309152956743e-12,0.9872172871452851
V01,Binaural,13,Gonzalez,1.5636557965874496e-12,1.233226738009765
V01,Binaural,14,Frontal,2.1284124566012863e-13,0.5319955050024145
V01,Binaural,14,Auditory,2.762863284076136e-13,0.6905761350465802
V01,Binaural,14,Occipital_Visual,9.760517655597123e-13,2.439635937653738
V01,Binaural,14,Gonzalez,5.15484417314174e-13,1.288450422564416
V01,Binaural,15,Frontal,7.735317552673224e-14,0.3069567091939536
V01,Binaural,15,Auditory,1.9285526701919118e-13,0.7652978395757524
V01,Binaural,15,Occipital_Visual,5.800529032313522e-13,2.301794711359491
V01,Binaural,15,Gonzalez,4.073538235588226e-13,1.6164816545117584
V01,Binaural,16,Frontal,1.6192230111467406e-12,0.9893926000777412
V01,Binaural,16,Auditory,2.113414164211285e-12,1.2913578429751176
V01,Binaural,16,Occipital_Visual,2.1547826610167946e-12,1.3166352039895983
V01,Binaural,16,Gonzalez,2.359078000483425e-12,1.4414656292659203
V01,Binaural,17,Frontal,8.024836348831225e-13,0.8470306097353845
V01,Binaural,17,Auditory,7.972894141247316e-13,0.8415480506091527
V01,Binaural,17,Occipital_Visual,1.874907900770181e-12,1.9789866277065638
V01,Binaural,17,Gonzalez,1.2548523002975485e-12,1.3245108845162779
V01,Binaural,18,Frontal,3.618733713516232e-13,0.8123569642845663
V01,Binaural,18,Auditory,4.077722116099705e-13,0.9153936768152131
V01,Binaural,18,Occipital_Visual,4.186291580530609e-13,0.9397660588475433
V01,Binaural,18,Gonzalez,4.3141794209650904e-13,0.9684751560204647
V01,Binaural,19,Frontal,1.596542494089404e-13,0.4711321472996501
V01,Binaural,19,Auditory,4.995586382520502e-13,1.4741739403310727
V01,Binaural,19,Occipital_Visual,6.074175624387663e-13,1.7924605299185346
V01,Binaural,19,Gonzalez,4.749837853537275e-13,1.4016547104425918
V01,Binaural,20,Frontal,5.528834019460191e-13,0.7817937060140757
V01,Binaural,20,Auditory,9.259740164588216e-13,1.3093550203389195
V01,Binaural,20,Occipital_Visual,7.929420612336741e-13,1.1212438473000856
V01,Binaural,20,Gonzalez,8.648875256780669e-13,1.222976890977851
V01,Binaural,21,Frontal,3.214810157920661e-13,0.44235957410690685
V01,Binaural,21,Auditory,5.287685064490894e-13,0.7275882550565745
V01,Binaural,21,Occipital_Visual,1.6051367733687499e-12,2.2086766700712235
V01,Binaural,21,Gonzalez,6.477674588687127e-13,0.8913314415144659
V01,Binaural,22,Frontal,2.991892156379904e-13,0.39430954186816436
V01,Binaural,22,Auditory,7.777885753821556e-13,1.025068554610988
V01,Binaural,22,Occipital_Visual,1.1590182091668053e-12,1.5275013776779758
V01,Binaural,22,Gonzalez,7.824377038381518e-13,1.0311957664747613
V01,Binaural,23,Frontal,7.746033222745303e-13,0.9868427680393083
V01,Binaural,23,Auditory,8.71996313505728e-13,1.1109212044343435
V01,Binaural,23,Occipital_Visual,9.057073775134976e-13,1.1538690188347407
V01,Binaural,23,Gonzalez,1.011291258469016e-12,1.2883826290223672
V01,Binaural,24,Frontal,4.526158056189655e-13,0.822167674489296
V01,Binaural,24,Auditory,3.7161891919565226e-13,0.6750384294986992
V01,Binaural,24,Occipital_Visual,1.3018585256571932e-12,2.3648003080447184
V01,Binaural,24,Gonzalez,6.453905271600721e-13,1.1723391500369278
V01,Binaural,25,Frontal,3.9140254747192687e-13,0.3454581130986533
V01,Binaural,25,Auditory,1.0009498065483975e-12,0.883454217940349
